Count,Non-Hispanic White,Non-Hispanic Black,Hispanic,Non-Hispanic Asian American,Non-Hispanic Native American,18 to 24,25 to 34,35 to 44,45 and 55,56 and 65,66 and up,Age Unknown,Female,Male ,Unknown
Total Vote Count,2266958,1110567,105852,102368,"5,592",319839,504417,579464,714182,780824,1043040,71389,2214817,1720269,78069
Total Early Vote Count,1568388,710903,71176,53083,"3,655",225962,369971,442379,553042,552675,494608,56126,1469516,1164784,60463
