"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","66002","TOWN OF BARRONETT - WASHBURN COUNTY","73","73","68","4"
"2020 General Election","66004","TOWN OF BASHAW - WASHBURN COUNTY","233","232","171","3"
"2020 General Election","66006","TOWN OF BASS LAKE - WASHBURN COUNTY","81","81","60","2"
"2020 General Election","66008","TOWN OF BEAVER BROOK - WASHBURN COUNTY","174","169","144","14"
"2020 General Election","66010","TOWN OF BIRCHWOOD - WASHBURN COUNTY","202","202","181","32"
"2020 General Election","66012","TOWN OF BROOKLYN - WASHBURN COUNTY","80","79","67","25"
"2020 General Election","66014","TOWN OF CASEY - WASHBURN COUNTY","112","110","94","12"
"2020 General Election","66016","TOWN OF CHICOG - WASHBURN COUNTY","81","78","72","13"
"2020 General Election","66018","TOWN OF CRYSTAL - WASHBURN COUNTY","60","60","41","7"
"2020 General Election","66020","TOWN OF EVERGREEN - WASHBURN COUNTY","271","270","240","48"
"2020 General Election","66022","TOWN OF FROG CREEK - WASHBURN COUNTY","17","17","17","1"
"2020 General Election","66024","TOWN OF GULL LAKE - WASHBURN COUNTY","63","61","48","8"
"2020 General Election","66026","TOWN OF LONG LAKE - WASHBURN COUNTY","203","202","161","10"
"2020 General Election","66028","TOWN OF MADGE - WASHBURN COUNTY","173","172","147","15"
"2020 General Election","66030","TOWN OF MINONG - WASHBURN COUNTY","300","300","282","104"
"2020 General Election","66032","TOWN OF SARONA - WASHBURN COUNTY","62","62","52","17"
"2020 General Election","66034","TOWN OF SPOONER - WASHBURN COUNTY","183","181","163","13"
"2020 General Election","66036","TOWN OF SPRINGBROOK - WASHBURN COUNTY","134","126","100","11"
"2020 General Election","66038","TOWN OF STINNETT - WASHBURN COUNTY","17","16","11","2"
"2020 General Election","66040","TOWN OF STONE LAKE - WASHBURN COUNTY","116","113","101","14"
"2020 General Election","66042","TOWN OF TREGO - WASHBURN COUNTY","272","262","227","34"
"2020 General Election","66106","VILLAGE OF BIRCHWOOD - WASHBURN COUNTY","65","63","53","15"
"2020 General Election","66151","VILLAGE OF MINONG - WASHBURN COUNTY","95","95","74","16"
"2020 General Election","66281","CITY OF SPOONER - WASHBURN COUNTY","692","690","654","225"
"2020 General Election","66282","CITY OF SHELL LAKE - WASHBURN COUNTY","480","453","437","164"
"2020 General Election","67002","TOWN OF ADDISON - WASHINGTON COUNTY","1216","1215","1182","594"
"2020 General Election","67004","TOWN OF BARTON - WASHINGTON COUNTY","1159","1158","1121","531"
"2020 General Election","67006","TOWN OF ERIN - WASHINGTON COUNTY","1769","1767","1727","864"
"2020 General Election","67008","TOWN OF FARMINGTON - WASHINGTON COUNTY","1278","1276","1166","447"
"2020 General Election","67010","TOWN OF GERMANTOWN - WASHINGTON COUNTY","58","58","54","5"
"2020 General Election","67012","TOWN OF HARTFORD - WASHINGTON COUNTY","1427","1426","1359","507"
"2020 General Election","67014","TOWN OF JACKSON - WASHINGTON COUNTY","2109","2107","2006","871"
"2020 General Election","67016","TOWN OF KEWASKUM - WASHINGTON COUNTY","320","318","278","78"
"2020 General Election","67018","TOWN OF POLK - WASHINGTON COUNTY","1851","1850","1748","818"
"2020 General Election","67022","TOWN OF TRENTON - WASHINGTON COUNTY","2173","2169","2095","849"
"2020 General Election","67024","TOWN OF WAYNE - WASHINGTON COUNTY","655","654","618","260"
"2020 General Election","67026","TOWN OF WEST BEND - WASHINGTON COUNTY","2492","2432","2367","960"
"2020 General Election","67131","VILLAGE OF GERMANTOWN - WASHINGTON COUNTY","10136","10128","9807","4442"
"2020 General Election","67141","VILLAGE OF JACKSON - WASHINGTON COUNTY","3173","3172","3108","1640"
