"Election","HINDI","Jurisdiction","AbsenteeApplications","BallotsSent","BallotsReturned","InPersonAbsentee"
"2020 General Election","02006","TOWN OF CHIPPEWA - ASHLAND COUNTY","57","57","52","3"
"2020 General Election","02008","TOWN OF GINGLES - ASHLAND COUNTY","180","180","162","5"
"2020 General Election","02010","TOWN OF GORDON - ASHLAND COUNTY","49","49","40","7"
"2020 General Election","02012","TOWN OF JACOBS - ASHLAND COUNTY","108","108","95","0"
"2020 General Election","02014","TOWN OF LA POINTE - ASHLAND COUNTY","173","173","166","60"
"2020 General Election","02016","TOWN OF MARENGO - ASHLAND COUNTY","68","68","63","0"
"2020 General Election","02018","TOWN OF MORSE - ASHLAND COUNTY","138","136","130","4"
"2020 General Election","02020","TOWN OF PEEKSVILLE - ASHLAND COUNTY","34","32","25","4"
"2020 General Election","02022","TOWN OF SANBORN - ASHLAND COUNTY","144","143","124","0"
"2020 General Election","02024","TOWN OF SHANAGOLDEN - ASHLAND COUNTY","25","25","25","0"
"2020 General Election","02026","TOWN OF WHITE RIVER - ASHLAND COUNTY","137","135","124","25"
"2020 General Election","02106","VILLAGE OF BUTTERNUT - ASHLAND COUNTY","66","66","66","17"
"2020 General Election","02201","CITY OF ASHLAND - MULTIPLE COUNTIES","2467","2465","2297","414"
"2020 General Election","02251","CITY OF MELLEN - ASHLAND COUNTY","141","140","137","0"
"2020 General Election","03002","TOWN OF ALMENA - BARRON COUNTY","210","206","179","71"
"2020 General Election","03004","TOWN OF ARLAND - BARRON COUNTY","103","103","82","4"
"2020 General Election","03006","TOWN OF BARRON - BARRON COUNTY","135","135","102","30"
"2020 General Election","03008","TOWN OF BEAR LAKE - BARRON COUNTY","171","171","147","37"
"2020 General Election","03010","TOWN OF CEDAR LAKE - BARRON COUNTY","349","340","331","47"
"2020 General Election","03012","TOWN OF CHETEK - BARRON COUNTY","545","542","516","162"
"2020 General Election","03014","TOWN OF CLINTON - BARRON COUNTY","106","105","98","7"
"2020 General Election","03016","TOWN OF CRYSTAL LAKE - BARRON COUNTY","114","114","87","24"
"2020 General Election","03018","TOWN OF CUMBERLAND - BARRON COUNTY","169","169","151","45"
"2020 General Election","03020","TOWN OF DALLAS - BARRON COUNTY","90","89","81","10"
"2020 General Election","03022","TOWN OF DOVRE - BARRON COUNTY","129","129","111","23"
"2020 General Election","03024","TOWN OF DOYLE - BARRON COUNTY","95","95","74","11"
"2020 General Election","03026","TOWN OF LAKELAND - BARRON COUNTY","209","209","178","31"
"2020 General Election","03028","TOWN OF MAPLE GROVE - BARRON COUNTY","157","149","129","21"
"2020 General Election","03030","TOWN OF MAPLE PLAIN - BARRON COUNTY","186","186","158","41"
"2020 General Election","03032","TOWN OF OAK GROVE - BARRON COUNTY","182","180","156","16"
"2020 General Election","03034","TOWN OF PRAIRIE FARM - BARRON COUNTY","53","53","47","0"
"2020 General Election","03036","TOWN OF PRAIRIE LAKE - BARRON COUNTY","396","391","356","94"
"2020 General Election","03038","TOWN OF RICE LAKE - BARRON COUNTY","1103","1102","1074","420"
"2020 General Election","03040","TOWN OF SIOUX CREEK - BARRON COUNTY","154","154","132","33"
"2020 General Election","03042","TOWN OF STANFOLD - BARRON COUNTY","161","161","149","60"
"2020 General Election","03044","TOWN OF STANLEY - BARRON COUNTY","667","667","625","191"
"2020 General Election","03046","TOWN OF SUMNER - BARRON COUNTY","147","147","138","52"
"2020 General Election","03048","TOWN OF TURTLE LAKE - BARRON COUNTY","80","75","53","13"
"2020 General Election","03050","TOWN OF VANCE CREEK - BARRON COUNTY","64","62","51","4"
"2020 General Election","03101","VILLAGE OF ALMENA - BARRON COUNTY","94","94","84","33"
"2020 General Election","03111","VILLAGE OF CAMERON - BARRON COUNTY","362","362","340","147"
"2020 General Election","03116","VILLAGE OF DALLAS - BARRON COUNTY","47","47","42","11"
"2020 General Election","03136","VILLAGE OF HAUGEN - BARRON COUNTY","27","27","26","4"
"2020 General Election","03171","VILLAGE OF PRAIRIE FARM - BARRON COUNTY","30","30","29","0"
"2020 General Election","03186","VILLAGE OF TURTLE LAKE - MULTIPLE COUNTIES","143","143","135","50"
"2020 General Election","03206","CITY OF BARRON - BARRON COUNTY","878","877","823","319"
"2020 General Election","03211","CITY OF CHETEK - BARRON COUNTY","625","625","592","267"
"2020 General Election","03212","CITY OF CUMBERLAND - BARRON COUNTY","662","659","595","243"
"2020 General Election","03276","CITY OF RICE LAKE - BARRON COUNTY","2839","2836","2706","1044"
"2020 General Election","04002","TOWN OF BARKSDALE - BAYFIELD COUNTY","238","236","227","30"
"2020 General Election","04004","TOWN OF BARNES - BAYFIELD COUNTY","324","320","308","86"
"2020 General Election","04006","TOWN OF BAYFIELD - BAYFIELD COUNTY","329","328","313","43"
"2020 General Election","04008","TOWN OF BAYVIEW - BAYFIELD COUNTY","171","171","165","14"
"2020 General Election","04010","TOWN OF BELL - BAYFIELD COUNTY","150","150","135","10"
"2020 General Election","04012","TOWN OF CABLE - BAYFIELD COUNTY","310","303","295","57"
"2020 General Election","04014","TOWN OF CLOVER - BAYFIELD COUNTY","107","105","101","12"
"2020 General Election","04016","TOWN OF DELTA - BAYFIELD COUNTY","123","123","120","2"
"2020 General Election","04018","TOWN OF DRUMMOND - BAYFIELD COUNTY","157","155","144","17"
"2020 General Election","04020","TOWN OF EILEEN - BAYFIELD COUNTY","160","159","140","0"
"2020 General Election","04021","TOWN OF GRAND VIEW - BAYFIELD COUNTY","130","130","125","24"
"2020 General Election","04022","TOWN OF HUGHES - BAYFIELD COUNTY","130","130","114","9"
"2020 General Election","04024","TOWN OF IRON RIVER - BAYFIELD COUNTY","365","359","315","37"
"2020 General Election","04026","TOWN OF KELLY - BAYFIELD COUNTY","98","98","84","11"
"2020 General Election","04028","TOWN OF KEYSTONE - BAYFIELD COUNTY","63","63","54","1"
"2020 General Election","04030","TOWN OF LINCOLN - BAYFIELD COUNTY","85","85","73","5"
"2020 General Election","04032","TOWN OF MASON - BAYFIELD COUNTY","55","50","47","1"
"2020 General Election","04034","TOWN OF NAMAKAGON - BAYFIELD COUNTY","121","121","120","37"
"2020 General Election","04036","TOWN OF ORIENTA - BAYFIELD COUNTY","28","28","26","4"
"2020 General Election","04038","TOWN OF OULU - BAYFIELD COUNTY","133","133","119","0"
"2020 General Election","04040","TOWN OF PILSEN - BAYFIELD COUNTY","37","37","37","0"
"2020 General Election","04042","TOWN OF PORT WING - BAYFIELD COUNTY","175","174","159","0"
"2020 General Election","04046","TOWN OF RUSSELL - BAYFIELD COUNTY","216","216","183","19"
"2020 General Election","04048","TOWN OF TRIPP - BAYFIELD COUNTY","79","65","64","0"
"2020 General Election","04050","TOWN OF WASHBURN - BAYFIELD COUNTY","225","223","214","19"
"2020 General Election","04151","VILLAGE OF MASON - BAYFIELD COUNTY","15","15","13","0"
"2020 General Election","04206","CITY OF BAYFIELD - BAYFIELD COUNTY","272","271","257","83"
"2020 General Election","04291","CITY OF WASHBURN - BAYFIELD COUNTY","958","957","931","250"
"2020 General Election","05010","TOWN OF EATON - BROWN COUNTY","327","319","241","72"
"2020 General Election","05012","TOWN OF GLENMORE - BROWN COUNTY","227","227","213","36"
"2020 General Election","05014","TOWN OF GREEN BAY - BROWN COUNTY","664","630","544","126"
"2020 General Election","05018","TOWN OF HOLLAND - BROWN COUNTY","482","369","341","24"
"2020 General Election","05022","TOWN OF HUMBOLDT - BROWN COUNTY","319","319","297","93"
"2020 General Election","05024","TOWN OF LAWRENCE - BROWN COUNTY","3154","3154","3065","1234"
"2020 General Election","05025","TOWN OF LEDGEVIEW - BROWN COUNTY","4432","4430","4292","1621"
"2020 General Election","05026","TOWN OF MORRISON - BROWN COUNTY","349","343","256","107"
"2020 General Election","05028","TOWN OF NEW DENMARK - BROWN COUNTY","368","368","351","64"
"2020 General Election","05030","TOWN OF PITTSFIELD - BROWN COUNTY","1236","1226","1152","0"
"2020 General Election","05034","TOWN OF ROCKLAND - BROWN COUNTY","758","758","722","309"
"2020 General Election","05036","TOWN OF SCOTT - BROWN COUNTY","1728","1726","1694","737"
"2020 General Election","05040","TOWN OF WRIGHTSTOWN - BROWN COUNTY","642","639","597","173"
"2020 General Election","05102","VILLAGE OF ALLOUEZ - BROWN COUNTY","6877","6871","6669","2270"
"2020 General Election","05104","VILLAGE OF ASHWAUBENON - BROWN COUNTY","7491","7483","7189","2397"
"2020 General Election","05106","VILLAGE OF BELLEVUE - BROWN COUNTY","6916","6907","6668","1970"
"2020 General Election","05116","VILLAGE OF DENMARK - BROWN COUNTY","640","639","616","193"
"2020 General Election","05126","VILLAGE OF HOBART - BROWN COUNTY","4785","4784","4619","1712"
"2020 General Election","05136","VILLAGE OF HOWARD - MULTIPLE COUNTIES","8556","8548","8277","2680"
"2020 General Election","05171","VILLAGE OF PULASKI - MULTIPLE COUNTIES","1054","1053","949","308"
"2020 General Election","05178","VILLAGE OF SUAMICO - BROWN COUNTY","6535","6534","6397","2653"
"2020 General Election","05191","VILLAGE OF WRIGHTSTOWN - MULTIPLE COUNTIES","1362","1361","1295","622"
"2020 General Election","05216","CITY OF DE PERE - BROWN COUNTY","10842","10832","10474","3171"
"2020 General Election","05231","CITY OF GREEN BAY - BROWN COUNTY","33864","33831","31917","7650"
"2020 General Election","06002","TOWN OF ALMA - BUFFALO COUNTY","59","59","48","3"
"2020 General Election","06004","TOWN OF BELVIDERE - BUFFALO COUNTY","76","73","72","27"
"2020 General Election","06006","TOWN OF BUFFALO - BUFFALO COUNTY","122","122","88","26"
"2020 General Election","06008","TOWN OF CANTON - BUFFALO COUNTY","43","41","37","11"
"2020 General Election","06010","TOWN OF CROSS - BUFFALO COUNTY","74","72","64","11"
"2020 General Election","06012","TOWN OF DOVER - BUFFALO COUNTY","64","63","41","8"
"2020 General Election","06014","TOWN OF GILMANTON - BUFFALO COUNTY","47","47","34","4"
"2020 General Election","06016","TOWN OF GLENCOE - BUFFALO COUNTY","42","42","29","7"
"2020 General Election","06018","TOWN OF LINCOLN - BUFFALO COUNTY","62","62","55","0"
"2020 General Election","06020","TOWN OF MAXVILLE - BUFFALO COUNTY","49","48","46","7"
"2020 General Election","06022","TOWN OF MILTON - BUFFALO COUNTY","141","139","120","22"
"2020 General Election","06024","TOWN OF MODENA - BUFFALO COUNTY","36","35","33","3"
"2020 General Election","06026","TOWN OF MONDOVI - BUFFALO COUNTY","79","79","72","11"
"2020 General Election","06028","TOWN OF MONTANA - BUFFALO COUNTY","30","29","24","4"
"2020 General Election","06030","TOWN OF NAPLES - BUFFALO COUNTY","92","87","70","4"
"2020 General Election","06032","TOWN OF NELSON - BUFFALO COUNTY","107","107","91","9"
"2020 General Election","06034","TOWN OF WAUMANDEE - BUFFALO COUNTY","98","98","82","0"
"2020 General Election","06111","VILLAGE OF COCHRANE - BUFFALO COUNTY","50","49","44","9"
"2020 General Election","06154","VILLAGE OF NELSON - BUFFALO COUNTY","18","18","15","0"
"2020 General Election","06201","CITY OF ALMA - BUFFALO COUNTY","231","231","225","49"
"2020 General Election","06206","CITY OF BUFFALO CITY - BUFFALO COUNTY","229","228","223","60"
"2020 General Election","06226","CITY OF FOUNTAIN CITY - BUFFALO COUNTY","229","225","207","80"
"2020 General Election","06251","CITY OF MONDOVI - BUFFALO COUNTY","544","544","508","185"
"2020 General Election","07002","TOWN OF ANDERSON - BURNETT COUNTY","56","55","48","13"
"2020 General Election","07004","TOWN OF BLAINE - BURNETT COUNTY","38","37","36","0"
"2020 General Election","07006","TOWN OF DANIELS - BURNETT COUNTY","125","125","112","25"
"2020 General Election","07008","TOWN OF DEWEY - BURNETT COUNTY","73","71","58","0"
"2020 General Election","07010","TOWN OF GRANTSBURG - BURNETT COUNTY","211","207","183","35"
"2020 General Election","07012","TOWN OF JACKSON - BURNETT COUNTY","349","347","312","106"
"2020 General Election","07014","TOWN OF LA FOLLETTE - BURNETT COUNTY","114","113","76","2"
"2020 General Election","07016","TOWN OF LINCOLN - BURNETT COUNTY","63","63","51","5"
"2020 General Election","07018","TOWN OF MEENON - BURNETT COUNTY","230","212","187","26"
"2020 General Election","07020","TOWN OF OAKLAND - BURNETT COUNTY","337","337","303","62"
"2020 General Election","07022","TOWN OF ROOSEVELT - BURNETT COUNTY","31","31","25","4"
"2020 General Election","07024","TOWN OF RUSK - BURNETT COUNTY","85","83","57","4"
"2020 General Election","07026","TOWN OF SAND LAKE - BURNETT COUNTY","132","132","105","6"
"2020 General Election","07028","TOWN OF SCOTT - BURNETT COUNTY","256","254","238","67"
"2020 General Election","07030","TOWN OF SIREN - BURNETT COUNTY","216","213","183","0"
"2020 General Election","07032","TOWN OF SWISS - BURNETT COUNTY","170","170","161","18"
"2020 General Election","07034","TOWN OF TRADE LAKE - BURNETT COUNTY","188","188","161","14"
"2020 General Election","07036","TOWN OF UNION - BURNETT COUNTY","107","100","93","17"
"2020 General Election","07038","TOWN OF WEBB LAKE - BURNETT COUNTY","158","158","148","27"
"2020 General Election","07040","TOWN OF WEST MARSHLAND - BURNETT COUNTY","49","49","41","7"
"2020 General Election","07042","TOWN OF WOOD RIVER - BURNETT COUNTY","192","187","161","5"
"2020 General Election","07131","VILLAGE OF GRANTSBURG - BURNETT COUNTY","274","271","245","62"
"2020 General Election","07181","VILLAGE OF SIREN - BURNETT COUNTY","164","164","155","41"
"2020 General Election","07191","VILLAGE OF WEBSTER - BURNETT COUNTY","98","98","89","21"
"2020 General Election","08002","TOWN OF BRILLION - CALUMET COUNTY","299","297","265","35"
"2020 General Election","08004","TOWN OF BROTHERTOWN - CALUMET COUNTY","285","285","241","0"
"2020 General Election","08006","TOWN OF CHARLESTOWN - CALUMET COUNTY","130","129","113","24"
"2020 General Election","08008","TOWN OF CHILTON - CALUMET COUNTY","327","319","297","70"
"2020 General Election","08012","TOWN OF NEW HOLSTEIN - CALUMET COUNTY","365","365","337","44"
"2020 General Election","08014","TOWN OF RANTOUL - CALUMET COUNTY","153","153","146","43"
"2020 General Election","08016","TOWN OF STOCKBRIDGE - CALUMET COUNTY","357","352","324","28"
"2020 General Election","08018","TOWN OF WOODVILLE - CALUMET COUNTY","144","143","130","16"
"2020 General Election","08131","VILLAGE OF HARRISON - MULTIPLE COUNTIES","6046","6041","5881","2120"
"2020 General Election","08136","VILLAGE OF HILBERT - CALUMET COUNTY","211","211","195","79"
"2020 General Election","08160","VILLAGE OF POTTER - CALUMET COUNTY","22","17","0","0"
"2020 General Election","08179","VILLAGE OF SHERWOOD - CALUMET COUNTY","1361","1361","1309","0"
"2020 General Election","08181","VILLAGE OF STOCKBRIDGE - CALUMET COUNTY","207","207","187","73"
"2020 General Election","08206","CITY OF BRILLION - CALUMET COUNTY","836","836","797","298"
"2020 General Election","08211","CITY OF CHILTON - CALUMET COUNTY","1163","1161","1127","523"
"2020 General Election","08261","CITY OF NEW HOLSTEIN - CALUMET COUNTY","1089","1089","1035","323"
"2020 General Election","09002","TOWN OF ANSON - CHIPPEWA COUNTY","723","720","666","170"
"2020 General Election","09004","TOWN OF ARTHUR - CHIPPEWA COUNTY","99","94","87","32"
"2020 General Election","09006","TOWN OF AUBURN - CHIPPEWA COUNTY","104","104","78","6"
"2020 General Election","09008","TOWN OF BIRCH CREEK - CHIPPEWA COUNTY","136","136","130","5"
"2020 General Election","09010","TOWN OF BLOOMER - CHIPPEWA COUNTY","176","176","156","19"
"2020 General Election","09012","TOWN OF CLEVELAND - CHIPPEWA COUNTY","133","133","108","15"
"2020 General Election","09014","TOWN OF COLBURN - CHIPPEWA COUNTY","132","129","109","22"
"2020 General Election","09016","TOWN OF COOKS VALLEY - CHIPPEWA COUNTY","100","100","87","7"
"2020 General Election","09018","TOWN OF DELMAR - CHIPPEWA COUNTY","126","121","105","10"
"2020 General Election","09020","TOWN OF EAGLE POINT - CHIPPEWA COUNTY","1375","1374","1311","456"
"2020 General Election","09022","TOWN OF EDSON - CHIPPEWA COUNTY","103","102","93","30"
"2020 General Election","09024","TOWN OF ESTELLA - CHIPPEWA COUNTY","54","54","54","18"
"2020 General Election","09026","TOWN OF GOETZ - CHIPPEWA COUNTY","180","172","122","24"
"2020 General Election","09028","TOWN OF HALLIE - CHIPPEWA COUNTY","58","58","48","6"
"2020 General Election","09032","TOWN OF HOWARD - CHIPPEWA COUNTY","128","128","117","44"
"2020 General Election","09034","TOWN OF LAFAYETTE - CHIPPEWA COUNTY","2708","2704","2614","1260"
"2020 General Election","09035","TOWN OF LAKE HOLCOMBE - CHIPPEWA COUNTY","237","233","210","29"
"2020 General Election","09036","TOWN OF RUBY - CHIPPEWA COUNTY","65","65","46","6"
"2020 General Election","09038","TOWN OF SAMPSON - CHIPPEWA COUNTY","271","256","242","60"
"2020 General Election","09040","TOWN OF SIGEL - CHIPPEWA COUNTY","176","171","138","11"
"2020 General Election","09042","TOWN OF TILDEN - CHIPPEWA COUNTY","427","426","380","70"
"2020 General Election","09044","TOWN OF WHEATON - CHIPPEWA COUNTY","870","868","828","195"
"2020 General Election","09046","TOWN OF WOODMOHR - CHIPPEWA COUNTY","171","171","151","22"
"2020 General Election","09106","VILLAGE OF BOYD - CHIPPEWA COUNTY","80","80","79","36"
"2020 General Election","09111","VILLAGE OF CADOTT - CHIPPEWA COUNTY","264","263","245","89"
"2020 General Election","09128","VILLAGE OF LAKE HALLIE - CHIPPEWA COUNTY","2378","2373","2254","882"
"2020 General Election","09161","VILLAGE OF NEW AUBURN - MULTIPLE COUNTIES","65","64","51","28"
"2020 General Election","09206","CITY OF BLOOMER - CHIPPEWA COUNTY","940","939","892","229"
"2020 General Election","09211","CITY OF CHIPPEWA FALLS - CHIPPEWA COUNTY","3987","3983","3753","1065"
"2020 General Election","09213","CITY OF CORNELL - CHIPPEWA COUNTY","308","307","283","52"
"2020 General Election","09281","CITY OF STANLEY - MULTIPLE COUNTIES","307","305","251","73"
"2020 General Election","10002","TOWN OF BEAVER - CLARK COUNTY","65","65","44","0"
"2020 General Election","10004","TOWN OF BUTLER - CLARK COUNTY","20","20","17","3"
"2020 General Election","10006","TOWN OF COLBY - CLARK COUNTY","59","59","49","17"
"2020 General Election","10008","TOWN OF DEWHURST - CLARK COUNTY","76","74","63","5"
"2020 General Election","10010","TOWN OF EATON - CLARK COUNTY","73","71","51","1"
"2020 General Election","10012","TOWN OF FOSTER - CLARK COUNTY","27","27","19","0"
"2020 General Election","10014","TOWN OF FREMONT - CLARK COUNTY","112","112","94","0"
"2020 General Election","10016","TOWN OF GRANT - CLARK COUNTY","123","120","106","6"
"2020 General Election","10018","TOWN OF GREEN GROVE - CLARK COUNTY","58","55","36","1"
"2020 General Election","10020","TOWN OF HENDREN - CLARK COUNTY","51","50","37","0"
"2020 General Election","10022","TOWN OF HEWETT - CLARK COUNTY","73","73","41","4"
"2020 General Election","10024","TOWN OF HIXON - CLARK COUNTY","49","48","34","1"
"2020 General Election","10026","TOWN OF HOARD - CLARK COUNTY","81","80","61","4"
"2020 General Election","10028","TOWN OF LEVIS - CLARK COUNTY","68","68","48","4"
"2020 General Election","10030","TOWN OF LONGWOOD - CLARK COUNTY","30","30","15","0"
"2020 General Election","10032","TOWN OF LOYAL - CLARK COUNTY","76","76","62","5"
"2020 General Election","10034","TOWN OF LYNN - CLARK COUNTY","91","89","64","9"
"2020 General Election","10036","TOWN OF MAYVILLE - CLARK COUNTY","85","84","74","8"
"2020 General Election","10038","TOWN OF MEAD - CLARK COUNTY","27","27","21","4"
"2020 General Election","10040","TOWN OF MENTOR - CLARK COUNTY","64","64","35","3"
"2020 General Election","10042","TOWN OF PINE VALLEY - CLARK COUNTY","203","203","181","9"
"2020 General Election","10044","TOWN OF RESEBURG - CLARK COUNTY","31","30","24","3"
"2020 General Election","10046","TOWN OF SEIF - CLARK COUNTY","22","22","15","0"
"2020 General Election","10048","TOWN OF SHERMAN - CLARK COUNTY","84","82","57","1"
"2020 General Election","10050","TOWN OF SHERWOOD - CLARK COUNTY","46","45","31","0"
"2020 General Election","10052","TOWN OF THORP - CLARK COUNTY","84","84","65","4"
"2020 General Election","10054","TOWN OF UNITY - CLARK COUNTY","70","70","66","9"
"2020 General Election","10056","TOWN OF WARNER - CLARK COUNTY","71","71","59","11"
"2020 General Election","10058","TOWN OF WASHBURN - CLARK COUNTY","52","52","45","9"
"2020 General Election","10060","TOWN OF WESTON - CLARK COUNTY","78","78","57","5"
"2020 General Election","10062","TOWN OF WITHEE - CLARK COUNTY","98","96","73","12"
"2020 General Election","10064","TOWN OF WORDEN - CLARK COUNTY","64","64","56","7"
"2020 General Election","10066","TOWN OF YORK - CLARK COUNTY","107","105","93","18"
"2020 General Election","10111","VILLAGE OF CURTISS - CLARK COUNTY","14","14","10","0"
"2020 General Election","10116","VILLAGE OF DORCHESTER - MULTIPLE COUNTIES","93","92","74","13"
"2020 General Election","10131","VILLAGE OF GRANTON - CLARK COUNTY","46","46","37","6"
"2020 General Election","10191","VILLAGE OF WITHEE - CLARK COUNTY","78","78","75","33"
"2020 General Election","10201","CITY OF ABBOTSFORD - MULTIPLE COUNTIES","294","293","265","120"
"2020 General Election","10211","CITY OF COLBY - MULTIPLE COUNTIES","339","335","308","83"
"2020 General Election","10231","CITY OF GREENWOOD - CLARK COUNTY","214","214","197","41"
"2020 General Election","10246","CITY OF LOYAL - CLARK COUNTY","206","206","195","0"
"2020 General Election","10261","CITY OF NEILLSVILLE - CLARK COUNTY","522","519","505","120"
"2020 General Election","10265","CITY OF OWEN - CLARK COUNTY","120","120","118","25"
"2020 General Election","10286","CITY OF THORP - CLARK COUNTY","274","274","261","0"
"2020 General Election","11002","TOWN OF ARLINGTON - COLUMBIA COUNTY","213","213","199","0"
"2020 General Election","11004","TOWN OF CALEDONIA - COLUMBIA COUNTY","550","550","519","147"
"2020 General Election","11006","TOWN OF COLUMBUS - COLUMBIA COUNTY","110","110","90","1"
"2020 General Election","11008","TOWN OF COURTLAND - COLUMBIA COUNTY","79","79","74","6"
"2020 General Election","11010","TOWN OF DEKORRA - COLUMBIA COUNTY","1022","1022","980","302"
"2020 General Election","11012","TOWN OF FORT WINNEBAGO - COLUMBIA COUNTY","200","200","182","18"
"2020 General Election","11014","TOWN OF FOUNTAIN PRAIRIE - COLUMBIA COUNTY","219","217","165","68"
"2020 General Election","11016","TOWN OF HAMPDEN - COLUMBIA COUNTY","119","114","103","4"
"2020 General Election","11018","TOWN OF LEEDS - COLUMBIA COUNTY","190","190","170","31"
"2020 General Election","11020","TOWN OF LEWISTON - COLUMBIA COUNTY","302","300","284","56"
"2020 General Election","11022","TOWN OF LODI - COLUMBIA COUNTY","1641","1637","1566","763"
"2020 General Election","11024","TOWN OF LOWVILLE - COLUMBIA COUNTY","236","236","208","0"
"2020 General Election","11026","TOWN OF MARCELLON - COLUMBIA COUNTY","172","172","164","29"
"2020 General Election","11028","TOWN OF NEWPORT - COLUMBIA COUNTY","159","145","139","0"
"2020 General Election","11030","TOWN OF OTSEGO - COLUMBIA COUNTY","113","113","95","7"
"2020 General Election","11032","TOWN OF PACIFIC - COLUMBIA COUNTY","1194","1194","1174","342"
"2020 General Election","11034","TOWN OF RANDOLPH - COLUMBIA COUNTY","123","123","113","18"
"2020 General Election","11036","TOWN OF SCOTT - COLUMBIA COUNTY","114","114","96","4"
"2020 General Election","11038","TOWN OF SPRINGVALE - COLUMBIA COUNTY","116","116","103","8"
"2020 General Election","11040","TOWN OF WEST POINT - COLUMBIA COUNTY","944","943","908","386"
"2020 General Election","11042","TOWN OF WYOCENA - COLUMBIA COUNTY","437","437","406","96"
"2020 General Election","11101","VILLAGE OF ARLINGTON - COLUMBIA COUNTY","219","218","200","48"
"2020 General Election","11111","VILLAGE OF CAMBRIA - COLUMBIA COUNTY","134","134","134","22"
"2020 General Election","11116","VILLAGE OF DOYLESTOWN - COLUMBIA COUNTY","22","22","18","2"
"2020 General Election","11126","VILLAGE OF FALL RIVER - COLUMBIA COUNTY","426","423","399","155"
"2020 General Election","11127","VILLAGE OF FRIESLAND - COLUMBIA COUNTY","46","46","46","15"
"2020 General Election","11171","VILLAGE OF PARDEEVILLE - COLUMBIA COUNTY","557","557","525","211"
"2020 General Election","11172","VILLAGE OF POYNETTE - COLUMBIA COUNTY","847","847","821","329"
"2020 General Election","11177","VILLAGE OF RIO - COLUMBIA COUNTY","270","269","252","114"
"2020 General Election","11191","VILLAGE OF WYOCENA - COLUMBIA COUNTY","147","147","142","43"
"2020 General Election","11211","CITY OF COLUMBUS - MULTIPLE COUNTIES","2159","2157","2095","870"
"2020 General Election","11246","CITY OF LODI - COLUMBIA COUNTY","1426","1426","1373","426"
"2020 General Election","11271","CITY OF PORTAGE - COLUMBIA COUNTY","3339","3335","3215","1195"
"2020 General Election","11291","CITY OF WISCONSIN DELLS - MULTIPLE COUNTIES","756","751","713","292"
"2020 General Election","12002","TOWN OF BRIDGEPORT - CRAWFORD COUNTY","227","223","201","39"
"2020 General Election","12004","TOWN OF CLAYTON - CRAWFORD COUNTY","185","182","128","0"
"2020 General Election","12006","TOWN OF EASTMAN - CRAWFORD COUNTY","183","182","157","24"
"2020 General Election","12008","TOWN OF FREEMAN - CRAWFORD COUNTY","184","182","162","12"
"2020 General Election","12010","TOWN OF HANEY - CRAWFORD COUNTY","63","63","51","16"
"2020 General Election","12012","TOWN OF MARIETTA - CRAWFORD COUNTY","99","98","80","17"
"2020 General Election","12014","TOWN OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","212","200","182","38"
"2020 General Election","12016","TOWN OF SCOTT - CRAWFORD COUNTY","84","82","69","5"
"2020 General Election","12018","TOWN OF SENECA - CRAWFORD COUNTY","187","185","147","20"
"2020 General Election","12020","TOWN OF UTICA - CRAWFORD COUNTY","151","151","128","11"
"2020 General Election","12022","TOWN OF WAUZEKA - CRAWFORD COUNTY","64","59","37","0"
"2020 General Election","12106","VILLAGE OF BELL CENTER - CRAWFORD COUNTY","15","15","10","0"
"2020 General Election","12121","VILLAGE OF EASTMAN - CRAWFORD COUNTY","52","52","45","13"
"2020 General Election","12126","VILLAGE OF FERRYVILLE - CRAWFORD COUNTY","59","54","46","0"
"2020 General Election","12131","VILLAGE OF GAYS MILLS - CRAWFORD COUNTY","109","109","100","23"
"2020 General Election","12146","VILLAGE OF LYNXVILLE - CRAWFORD COUNTY","11","10","1","0"
"2020 General Election","12151","VILLAGE OF MT. STERLING - CRAWFORD COUNTY","10","10","0","0"
"2020 General Election","12181","VILLAGE OF SOLDIERS GROVE - CRAWFORD COUNTY","112","112","104","42"
"2020 General Election","12182","VILLAGE OF STEUBEN - CRAWFORD COUNTY","10","10","2","0"
"2020 General Election","12191","VILLAGE OF WAUZEKA - CRAWFORD COUNTY","94","94","78","15"
"2020 General Election","12271","CITY OF PRAIRIE DU CHIEN - CRAWFORD COUNTY","1466","1464","1375","445"
"2020 General Election","13002","TOWN OF ALBION - DANE COUNTY","617","616","579","218"
"2020 General Election","13004","TOWN OF BERRY - DANE COUNTY","467","466","451","155"
"2020 General Election","13006","TOWN OF BLACK EARTH - DANE COUNTY","190","189","185","20"
"2020 General Election","13008","TOWN OF BLOOMING GROVE - DANE COUNTY","730","729","693","232"
"2020 General Election","13010","TOWN OF BLUE MOUNDS - DANE COUNTY","371","368","326","0"
"2020 General Election","13012","TOWN OF BRISTOL - DANE COUNTY","1885","1885","1810","562"
"2020 General Election","13014","TOWN OF BURKE - DANE COUNTY","1383","1380","1333","401"
"2020 General Election","13016","TOWN OF CHRISTIANA - DANE COUNTY","357","355","324","129"
"2020 General Election","13018","TOWN OF COTTAGE GROVE - DANE COUNTY","2005","2004","1938","535"
"2020 General Election","13020","TOWN OF CROSS PLAINS - DANE COUNTY","624","624","615","92"
"2020 General Election","13022","TOWN OF DANE - DANE COUNTY","223","223","209","43"
"2020 General Election","13024","TOWN OF DEERFIELD - DANE COUNTY","477","477","434","44"
